Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
08183012-c	1089.5	0	6403	1558	0	2685
08243026-c	2453	0	8321	2772	0	4502
08243036-c	2598.5	0	6197	2245	2	3821
08243037-c	832.5	0	7548	908	0	3097
08243038-c	2743	0	7353	2818	0	4647
08243039-c	1498	0	10152	1978	0	4139
08243040-c	2793	0	8102	3050	0	5129
08243041-c	819	0	8252	1542	0	3238
08243042-c	2563	0	5491	1988	1	3339
08243043-c	2694.5	0	5451	1946	15	3194
08243044-c	2865	0	5803	1971	12	3466
08243045-c	563	0	6865	1118	0	2863
08243046-c	796.5	0	3190	963.5	0	1445
08243047-c	2535	0	6010	2260	0	3745
08243048-c	2519	0	7997	2799	0	4430
08243049-c	2860	0	6222	2233	6	3933
08243050-c	3198.5	1	6418	2308	10	3978
08243051-c	2590	0	8616	3100	0	5018
08243052-c	1834	0	7681	2304	0	3452
08243053-c	3137.5	0	7078	2693	3	4600
08243054-c	2957.5	0	6314	2412	3	4035
08243055-c	2239	0	6643	2426	0	4164
08243056-c	2778.5	0	6642	2594.5	0	4270
08243057-c	3145	1	6146	2071	12	3659
08243058-c	3125.5	1	5401	1898	26	3327
08243059-c	2866	0	5117	1722.5	14	3063
08243060-c	3037.5	0	6393	2208	8	3832
08243061-c	3400	0	6251	2072	17	3637
08243062-c	3230	0	6521	2286.5	12	3646
08243063-c	2948.5	1	5575	1999	22	3357
08243064-c	2518	0	6308	2540.5	0	4298
08243065-c	2459	0	5019	1893	3	3074
08243066-c	2611	0	7366	1695	1	3115
08243067-c	3023	0	6585	2431	3	4060
08243068-c	2941.5	0	6359	2366.5	0	3918
08243069-c	3128	0	6667	2577	1	4258
08243070-c	2529	0	4787	1748	21	2970
08243071-c	2632	0	5111	1833	5	3221
08243072-c	2298	0	5031	1775	3	2954
08243073-c	2907	0	6516	2330	3	4023
08243074-c	2831.5	0	6137	2157	10	3588
08243075-c	3151	2	6018	2042.5	8	3618
08243076-c	2486	0	4829	1706.5	10	2889
08243077-c	3086	0	6281	2099	10	3742
08243078-c	2720	0	5645	2155.5	3	3475
08243079-c	2352	0	6347	2305	2	3834
08243080-c	3395.5	0	6906	2609	6	4390
08243081-c	2919	0	6311	2337	4	3936
08243082-c	3235	0	8317	3178	0	5340
08243083-c	3204	0	7085	2686	2	4608
08243084-c	3180	0	6955	2625	0	4450
08243085-c	3324	0	7455	3056	0	5140
08243086-c	2993	0	6474	2387	14	4055
08243087-c	2893.5	0	6812	2636	0	4309
08243088-c	2468	0	5468	2181	1	3573
08243089-c	2961	1	5891	2096	12	3470
08243090-c	2893	0	6620	2544	2	4169
08243091-c	3070	2	6134	2114	10	3632
08243092-c	3357	0	7489	2704	8	4595
08243094-c	2834	0	6104	2307	7	3811
08243095-c	3112	0	6031	2024	13	3569
08243096-c	2613	1	5131	1901	7	3070
08243098-c	3250	0	5981	1828	19	3639
08243099-c	3223.5	0	6167	2140.5	6	3701
08243102-c	2377	0	5244	1975	1	3233
08243103-c	3318	0	7554	2840	3	4684
08243106-c	2907	0	6501	2415	2	4088
08243107-c	2674.5	0	5297	1770	12	3079
08243109-c	3080	0	5628	1820	32	3370
08243111-c	3066.5	1	6933	2505	5	4358
08243113-c	2780.5	0	5681	1989	13	3200
08243115-c	2989.5	0	6528	2319	4	4156
08243117-c	3155.5	0	7058	2610	0	4455
08243121-c	3016	0	7208	2700	0	4495
08243122-c	2520.5	0	8160	2990.5	0	4740
08243123-c	2272	0	5599	2416	4	3444
08243126-c	2478.5	0	5439	2240	0	3845
08243128-c	2961	0	6539	2355.5	2	3970
08243129-c	3012	0	6349	2194.5	14	3716
08243131-c	2935	0	6717	2550	1	4331
08243132-c	2115	0	3942	1426	5	2361
08243137-c	3093	0	9177	3371.5	0	5484
08243139-c	2251	0	6718	2179	4	3474
08243140-c	2504	0	7890	2900	0	4754
08243142-c	3302	0	6144	1968	4	3555
08243144-c	3023	0	5713	1962	11	3336
08243146-c	2849	0	10385	3575.5	0	5685
08243147-c	2720	0	7496	2962.5	0	4861
08243148-c	3424	0	6255	2074	13	3830
08243149-c	2969.5	0	6522	2496.5	0	4115
08243150-c	3156	0	6970	2577	6	4334
08243151-c	2543	0	9943	3352	0	5127
08243152-c	3236	0	7737	2832	3	4945
08243153-c	1541	0	8999	2825	0	4207
NTC-p1-9-03-2021	4026	0	16413	4443	0	7089
PositiveControl-p1-9-03-2021	1846	0	12464	3576.5	0	5434
