Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
07213092	2573	0	6015	2095	98	3993
07243129	902	0	5895	1262	0	2235
07243130	716.5	0	5983	1609.5	0	2387
07243131	2687.5	11	5888	1682	246	3040
07243132	2392	8	7733	2142	8	3866
07243133	2865	14	6439	1821.5	172	3764
07243134	3166.5	8	6222	1947	922	2989
07243135	1027	0	7682	1998	0	3109
07243136	1066	0	6662	1185	0	2384
07243137	2891.5	13	6695	1961.5	90	3965
07243138	2596	8	5895	1700	124	3394
07243139	2237	3	6930	2137	3	3755
07243140	2077.5	0	7046	2002	0	3174
07243141	741.5	0	5162	1126	0	1952
07243142	3130	5	6128	1897	746	3089
07243143	2305	11	7028	1407	64	2591
07243144	1676.5	0	8361	2399	0	3908
07243145	593	0	4333	929.5	0	1685
07243146	363	0	5182	423	0	1955
07243147	1117.5	0	9656	1699.5	0	3729
07243148	321	0	8626	1426.5	0	3169
07243149	2858	8	6356	1823	213	3505
07243150	658	0	8405	1575	0	3137
07243151	2098	5	6823	2000	5	3573
07243152	2816	5	9474	2740	5	5098
07243153	477	0	4138	569	0	1484
07243154	182	0	3250	660	0	1218
07243155	987.5	0	6621	1219.5	0	2489
07243156	2443	8	7511	2077.5	8	3657
07243157	2737.5	15	6627	1885.5	70	3530
07243158	1098	0	5898	1611	0	2479
07243159	936	0	4013	2113	0	3790
07243160	721	0	7456	2097.5	0	3135
07243161	2568.5	30	6552	1911	42	3480
07243162	730.5	0	4194	1349	0	2129
07243163	352.5	0	5108	666.5	0	2002
07243164	1189	2	5375	1524.5	2	2407
07243165	696	0	3719	1023.5	0	1513
07243166	1000	0	5655	1222	3	2103
07243167	1753.5	0	8144	2212.5	0	3423
07243168	1302	0	7611	2046	0	3230
07243169	379	0	6100	1185	0	2393
07243170	2894	12	7455	1659.5	78	3217
07243171	1947	1	6841	2059	1	3313
07243172	2890	10	8087	2376.5	26	4534
07243173	2428	8	7442	2177	8	3835
07243174	2555	12	5385	1626	141	3091
07243177	3040	12	7059	2004	116	3969
07243178	2771	14	6243	1748	196	3305
07243179	116	0	2312	590	0	873
07243180	2246	9	6693	1973.5	22	3618
07243181	799	0	7672	1247.5	0	2857
07243182	1806	0	5725	1689	0	2760
07243184	209	0	2929	184	0	1095
07243185	2276.5	5	6754	1840	9	3524
07243186	726	0	4118	1283	0	2058
07243188	905	0	4176	1359	0	2073
07243189	1593	3	7578	2032	3	3523
07243190	490	0	6131	1023	0	2264
07243191	1088	1	3264	1088	1	1741
07243192	2473.5	14	5884	1761	34	3297
07243193	2619.5	9	6112	1885	43	3557
07243194	2522	13	6066	1881.5	21	3480
07243195	595	0	5459	1122	0	2031
07243196	3393.5	6	6791	2087	551	3762
07243198	3071	12	6857	1951	87	3935
07243199	2775.5	10	6928	2072	32	4016
07243200	437	0	4180	1075	0	1588
07243201	602	0	7452	961	0	2729
07243202	3079	15	7091	1893	112	3616
07243203	701	0	6733	2095	0	3353
07243204	230	0	1490	843.5	0	1259
07243205	1167.5	0	10098	1149	0	3837
07243208	789	0	5877	1309	0	2121
07243209	746.5	0	6214	1782	0	2789
07243210	1828	0	7013	1912	0	3147
07243211	2518	7	5558	1567	207	2905
07243212	2625	5	5932	1755.5	76	3445
07243213	2507	5	5518	1624	126	3017
07243214	828	0	5066	1378.5	0	2098
07243215	3083	11	7655	2286	34	4313
07243216	2381.5	8	6167	1987	8	3578
07243217	481.5	0	7527	1354	0	2786
07243219	373	0	4094	1039	0	1622
07243220	873.5	0	3847	1133	0	1721
07243221	1530.5	2	5872	1913	2	3280
07243223	1214.5	0	8995	2036.5	0	3517
07243224	1143	0	6067	1275	0	2217
07243225	782	0	5080	1562	0	2452
07243226	521	0	7213	2041	0	3301
07243227	3074	58	7279	2167	58	4066
07243228	2638	20	5578	1620	325	3066
07243230	2932	11	7007	2248	1371	3843
07243232	99	0	845	304	0	420
