Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
7213092	4540	92	13747	7565.5	1384	13747
7243129	880	1	11992	5996.5	1	11992
7243130	441	0	12058	6029.5	1	12058
7243131	7128	530	12016	6273	530	12016
7243132	5283	16	19312	9664	16	19312
7243133	8436	407	15124	7765.5	407	15124
7243134	8007	1933	13116	7080	1979	12181
7243135	872	1	19785	9894.5	4	19785
7243136	1085	4	14535	7269.5	4	14535
7243137	7490	217	16055	8136	217	16055
7243138	7096	271	12779	6525	271	12779
7243139	4070	9	15906	7957.5	9	15906
7243140	3766	2	16280	8141	2	16280
7243141	689	0	9846	4923	0	9846
7243142	9151	1650	13943	7295	1650	12940
7243143	4200	109	16071	8090	109	16071
7243144	1231	0	23457	11730.5	4	23457
7243145	166	0	7568	3786	4	7568
7243146	123	0	10281	5140.5	0	10281
7243147	82	0	31690	15845	0	31690
7243148	0	0	26070	13035	0	26070
7243149	8224	397	14782	7496	397	14595
7243150	252	0	24260	12130	0	24260
7243151	4424	12	15123	7567.5	12	15123
7243152	7823	63	30732	15397.5	63	30732
7243153	280	0	6551	3275.5	0	6551
7243154	102	0	4484	2242	0	4484
7243155	1267	0	14870	7435	0	14870
7243156	6427	19	19190	9604.5	19	19190
7243157	6914	107	15202	7654.5	107	15202
7243158	1550	1	12531	6266	1	12531
7243159	219	0	7473	3309.5	0	6619
7243160	661	0	18381	9191.5	2	18381
7243161	6097	92	14972	7532	92	14972
7243162	543	0	6883	3441.5	0	6883
7243163	192	0	10016	5008	0	10016
7243164	1633	4	9371	4687.5	4	9371
7243165	219	0	5814	2907	0	5814
7243166	1053	0	11542	5775	8	11542
7243167	2925	2	21834	10918	2	21834
7243168	1539	6	19724	9865	6	19724
7243169	110	0	13324	6662.5	1	13324
7243170	6790	132	18628	9380	132	18628
7243171	3744	7	15494	7750.5	7	15494
7243172	8401	59	22286	11172.5	59	22286
7243173	5679	18	17310	8664	18	17310
7243174	6798	227	11787	6007	227	11787
7243177	8272	207	17097	8652	207	17097
7243178	7974	381	13701	7041	381	13701
7243179	0	0	2873	1436.5	0	2873
7243180	5424	37	15524	7780.5	37	15524
7243181	745	0	20466	10233	0	20466
7243182	3163	6	11530	5768	6	11530
