Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
U2944	6500	602	20339	10747	1155	20339
U2945	3856	36	26569	13302.5	36	26569
U2946	3860	23	30443	15233	23	30443
U2947	4778	758	18269	9520	1399	17641
U2948	7175	853	20621	10919.5	1218	20621
U2949	5435	647	21384	11248	1112	21384
U2950	4597	638	16734	8928	1122	16734
U2951	7171	500	14151	7325.5	500	14151
U2952	6592	210	30562	15403	244	30562
U2953	5219	593	17454	9184.5	915	17454
U2954	10226	1150	20784	10873.5	1150	20597
U2955	10691	2708	21443	12783.5	4124	21443
U2956	6178	913	23619	12560	1501	23619
U2957	13110	3498	22976	13680.5	4805	22556
U2958	8329	442	28440	14441	442	28440
U2959	8113	1504	20285	11370.5	2473	20268
U2960	4473	599	19780	10369.5	959	19780
U2961	3337	334	18474	9404	334	18474
U2962	3638	858	21580	11763.5	1947	21580
U2963	5031	393	27683	14146.5	610	27683
U2964	3090	645	18798	9948	1099	18797
U2965	3228	27	16724	8375.5	27	16724
U2966	4465	380	17757	9176.5	596	17757
U2967	7305	561	19032	9796.5	561	19032
U2968	3214	36	20032	10034	36	20032
U2969	3784	26	26909	13467.5	26	26909
U2970	869	0	23962	11981	0	23962
U2971	2994	2	37861	18931.5	2	37861
U2972	825	0	33620	16810	0	33620
U2973	3757	835	16951	9428	1915	16941
U2974	6076	1731	9529	5109.5	1731	8488
U2975	4172	1026	15652	8616.5	1581	15652
U2976	10213	3145	24984	14919.5	5464	24375
U2977	5328	1358	16609	9395.5	2318	16473
U2978	3655	468	17630	9184	738	17630
U2979	4847	662	17023	9025	1027	17023
U2980	4056	1246	15493	8995.5	2498	15493
U2981	5417	1067	16866	9141	1849	16433
U2982	11123	1592	18706	10098	1609	18587
U2983	6920	1406	18590	9911.5	1997	17826
U2984	6892	91	19952	10021.5	91	19952
U2985	4822	337	13865	7147	429	13865
U2986	5151	155	17543	8849	155	17543
U2987	4899	1993	16580	9473.5	2367	16580
U2988	3330	56	19858	9957	56	19858
U2989	5718	399	15530	8133	736	15530
U2990	6067	297	19931	10235	539	19931
U2991	6748	885	16868	9200	1532	16868
U2992	4406	189	17056	5654	189	11119
U2993	5037	1304	11811	6626.5	1468	11785
U2994	205	0	2326	274.5	0	549
U2995	4559	680	23205	12044	883	23205
