"Taxon","Lineage","Conflict","Version","Status","Scorpio Call","Note","% of non-N bases","Median Coverage"
"7213092","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","98.90%","2791(coverage)(amplicons)"
"7243129","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.11%","654(coverage)(amplicons)"
"7243130","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 7; Ref alleles 2; Amb alleles 4; Oth alleles 0; scorpio replaced lineage assignment B.1.575","91.30%","368(coverage)(amplicons)"
"7243131","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","3689(coverage)(amplicons)"
"7243132","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 1; Amb alleles 1; Oth alleles 0","99.67%","2286(coverage)(amplicons)"
"7243133","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","3830(coverage)(amplicons)"
"7243134","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0","99.76%","4171(coverage)(amplicons)"
"7243135","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","95.09%","644(coverage)(amplicons)"
"7243136","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","96.75%","695(coverage)(amplicons)"
"7243137","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","3311(coverage)(amplicons)"
"7243138","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.75%","3466(coverage)(amplicons)"
"7243139","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","99.06%","1885(coverage)(amplicons)"
"7243140","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.96%","1544(coverage)(amplicons)"
"7243141","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1.575","90.76%","350(coverage)(amplicons)"
"7243142","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","4140(coverage)(amplicons)"
"7243143","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0","99.75%","2816(coverage)(amplicons)"
"7243144","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","96.92%","928(coverage)(amplicons)"
"7243145","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 3; Amb alleles 2; Oth alleles 0; scorpio replaced lineage assignment B.1.575","95.20%","331(coverage)(amplicons)"
"7243146","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 6; Ref alleles 2; Amb alleles 5; Oth alleles 0; scorpio replaced lineage assignment B.1.575","79.59%","159(coverage)(amplicons)"
"7243147","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 6; Ref alleles 2; Amb alleles 5; Oth alleles 0; scorpio replaced lineage assignment A","77.27%","304(coverage)(amplicons)"
"7243148","B.1","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","75.32%","186(coverage)(amplicons)"
"7243149","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","3911(coverage)(amplicons)"
"7243150","A","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","75.88%","161(coverage)(amplicons)"
"7243151","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0","99.50%","1873(coverage)(amplicons)"
"7243152","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0","99.66%","2392(coverage)(amplicons)"
"7243153","B.1.575","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","90.93%","258(coverage)(amplicons)"
"7243154","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1.575","86.22%","170(coverage)(amplicons)"
